Year,Month,Day,Max Temp (F),Min Temp (F),Precipitation (in),Max Temp (C),Min Temp (C)
1990,1,1,92,61,0.0,33.333333333333336,16.11111111111111
1990,1,2,107,62,0.0,41.666666666666664,16.666666666666668
1990,1,3,83,72,0.0,28.333333333333332,22.22222222222222
1990,1,4,76,57,0.0,24.444444444444443,13.88888888888889
1990,1,5,75,59,0.0,23.88888888888889,15.0
1990,1,6,79,52,0.0,26.11111111111111,11.11111111111111
1990,1,7,84,64,0.0,28.88888888888889,17.77777777777778
1990,1,8,84,65,0.0,28.88888888888889,18.333333333333332
1990,1,9,88,63,0.0,31.11111111111111,17.22222222222222
1990,1,10,88,70,0.02,31.11111111111111,21.11111111111111
1990,1,11,96,72,0.13,35.55555555555556,22.22222222222222
1990,1,12,80,62,0.0,26.666666666666668,16.666666666666668
1990,1,13,80,59,0.0,26.666666666666668,15.0
1990,1,14,75,60,0.0,23.88888888888889,15.555555555555555
1990,1,15,78,58,0.0,25.555555555555557,14.444444444444445
1990,1,16,75,54,0.0,23.88888888888889,12.222222222222221
1990,1,17,87,51,0.0,30.555555555555557,10.555555555555555
1990,1,18,74,63,0.23,23.333333333333332,17.22222222222222
1990,1,19,72,57,0.0,22.22222222222222,13.88888888888889
1990,1,20,73,56,0.0,22.77777777777778,13.333333333333334
1990,1,21,82,57,0.0,27.77777777777778,13.88888888888889
1990,1,22,91,64,0.0,32.77777777777778,17.77777777777778
1990,1,23,100,66,0.0,37.77777777777778,18.88888888888889
1990,1,24,83,72,0.0,28.333333333333332,22.22222222222222
1990,1,25,79,59,0.0,26.11111111111111,15.0
1990,1,26,78,58,0.0,25.555555555555557,14.444444444444445
1990,1,27,71,62,0.0,21.666666666666668,16.666666666666668
1990,1,28,72,62,0.04,22.22222222222222,16.666666666666668
1990,1,29,91,55,0.0,32.77777777777778,12.777777777777779
1990,1,30,96,64,0.0,35.55555555555556,17.77777777777778
1990,1,31,68,60,0.0,20.0,15.555555555555555
1990,2,1,69,55,0.03,20.555555555555557,12.777777777777779
1990,2,2,67,58,0.0,19.444444444444443,14.444444444444445
1990,2,3,69,60,0.0,20.555555555555557,15.555555555555555
1990,2,4,71,57,0.0,21.666666666666668,13.88888888888889
1990,2,5,70,58,0.0,21.11111111111111,14.444444444444445
1990,2,6,70,52,0.0,21.11111111111111,11.11111111111111
1990,2,7,69,52,0.0,20.555555555555557,11.11111111111111
1990,2,8,70,58,0.1,21.11111111111111,14.444444444444445
1990,2,9,75,55,0.0,23.88888888888889,12.777777777777779
1990,2,10,70,59,0.05,21.11111111111111,15.0
1990,2,11,75,56,0.0,23.88888888888889,13.333333333333334
1990,2,12,77,56,0.0,25.0,13.333333333333334
1990,2,13,84,54,0.0,28.88888888888889,12.222222222222221
1990,2,14,96,65,0.0,35.55555555555556,18.333333333333332
1990,2,15,101,76,0.0,38.333333333333336,24.444444444444443
1990,2,16,86,72,0.01,30.0,22.22222222222222
1990,2,17,71,62,0.04,21.666666666666668,16.666666666666668
1990,2,18,74,59,0.0,23.333333333333332,15.0
1990,2,19,83,55,0.0,28.333333333333332,12.777777777777779
1990,2,20,94,57,0.0,34.44444444444444,13.88888888888889
1990,2,21,88,68,0.0,31.11111111111111,20.0
1990,2,22,88,70,0.0,31.11111111111111,21.11111111111111
1990,2,23,83,62,0.0,28.333333333333332,16.666666666666668
1990,2,24,87,59,0.0,30.555555555555557,15.0
1990,2,25,89,69,0.0,31.666666666666668,20.555555555555557
1990,2,26,78,66,0.0,25.555555555555557,18.88888888888889
1990,2,27,79,68,0.04,26.11111111111111,20.0
1990,2,28,77,64,0.06,25.0,17.77777777777778
1990,3,1,78,64,0.0,25.555555555555557,17.77777777777778
1990,3,2,84,63,0.0,28.88888888888889,17.22222222222222
1990,3,3,90,66,0.0,32.22222222222222,18.88888888888889
1990,3,4,93,68,0.0,33.888888888888886,20.0
1990,3,5,87,72,0.0,30.555555555555557,22.22222222222222
1990,3,6,75,65,0.0,23.88888888888889,18.333333333333332
1990,3,7,75,50,0.0,23.88888888888889,10.0
1990,3,8,91,56,0.0,32.77777777777778,13.333333333333334
1990,3,9,75,61,0.0,23.88888888888889,16.11111111111111
1990,3,10,86,62,0.0,30.0,16.666666666666668
1990,3,11,71,61,0.02,21.666666666666668,16.11111111111111
1990,3,12,72,55,0.0,22.22222222222222,12.777777777777779
1990,3,13,73,56,0.0,22.77777777777778,13.333333333333334
1990,3,14,73,55,0.0,22.77777777777778,12.777777777777779
1990,3,15,71,59,0.01,21.666666666666668,15.0
1990,3,16,74,49,0.0,23.333333333333332,9.444444444444445
1990,3,17,74,52,0.0,23.333333333333332,11.11111111111111
1990,3,18,71,56,0.0,21.666666666666668,13.333333333333334
1990,3,19,75,55,0.0,23.88888888888889,12.777777777777779
1990,3,20,81,58,0.0,27.22222222222222,14.444444444444445
1990,3,21,87,61,0.0,30.555555555555557,16.11111111111111
1990,3,22,95,66,0.0,35.0,18.88888888888889
1990,3,23,90,69,0.0,32.22222222222222,20.555555555555557
1990,3,24,93,69,0.0,33.888888888888886,20.555555555555557
1990,3,25,95,77,0.0,35.0,25.0
1990,3,26,98,79,0.0,36.666666666666664,26.11111111111111
1990,3,27,71,68,0.0,21.666666666666668,20.0
1990,3,28,70,56,0.02,21.11111111111111,13.333333333333334
1990,3,29,78,49,0.0,25.555555555555557,9.444444444444445
1990,3,30,78,58,0.0,25.555555555555557,14.444444444444445
1990,3,31,76,49,0.0,24.444444444444443,9.444444444444445
1990,4,1,73,55,0.0,22.77777777777778,12.777777777777779
1990,4,2,78,57,0.0,25.555555555555557,13.88888888888889
1990,4,3,71,49,0.0,21.666666666666668,9.444444444444445
1990,4,4,84,49,0.0,28.88888888888889,9.444444444444445
1990,4,5,86,57,0.0,30.0,13.88888888888889
1990,4,6,76,62,0.0,24.444444444444443,16.666666666666668
1990,4,7,71,57,0.0,21.666666666666668,13.88888888888889
1990,4,8,71,57,0.0,21.666666666666668,13.88888888888889
1990,4,9,73,56,0.0,22.77777777777778,13.333333333333334
1990,4,10,73,49,0.0,22.77777777777778,9.444444444444445
1990,4,11,74,49,0.0,23.333333333333332,9.444444444444445
1990,4,12,87,50,0.0,30.555555555555557,10.0
1990,4,13,71,64,0.0,21.666666666666668,17.77777777777778
1990,4,14,69,58,0.14,20.555555555555557,14.444444444444445
1990,4,15,67,46,0.0,19.444444444444443,7.777777777777778
1990,4,16,69,54,0.0,20.555555555555557,12.222222222222221
1990,4,17,65,53,0.0,18.333333333333332,11.666666666666666
1990,4,18,70,54,0.0,21.11111111111111,12.222222222222221
1990,4,19,76,55,0.0,24.444444444444443,12.777777777777779
1990,4,20,66,52,0.0,18.88888888888889,11.11111111111111
1990,4,21,67,59,0.05,19.444444444444443,15.0
1990,4,22,68,53,0.0,20.0,11.666666666666666
1990,4,23,76,51,0.0,24.444444444444443,10.555555555555555
1990,4,24,70,62,0.0,21.11111111111111,16.666666666666668
1990,4,25,66,61,0.03,18.88888888888889,16.11111111111111
1990,4,26,67,45,0.02,19.444444444444443,7.222222222222222
1990,4,27,68,42,0.0,20.0,5.555555555555555
1990,4,28,71,53,0.0,21.666666666666668,11.666666666666666
1990,4,29,68,57,0.07,20.0,13.88888888888889
1990,4,30,76,51,0.0,24.444444444444443,10.555555555555555
1990,5,1,78,58,0.0,25.555555555555557,14.444444444444445
1990,5,2,68,51,0.0,20.0,10.555555555555555
1990,5,3,82,46,0.0,27.77777777777778,7.777777777777778
1990,5,4,81,61,0.0,27.22222222222222,16.11111111111111
1990,5,5,71,67,0.0,21.666666666666668,19.444444444444443
1990,5,6,66,52,0.0,18.88888888888889,11.11111111111111
1990,5,7,66,46,0.0,18.88888888888889,7.777777777777778
1990,5,8,74,52,0.0,23.333333333333332,11.11111111111111
1990,5,9,76,58,0.0,24.444444444444443,14.444444444444445
1990,5,10,69,56,0.0,20.555555555555557,13.333333333333334
1990,5,11,74,51,0.0,23.333333333333332,10.555555555555555
1990,5,12,67,50,0.0,19.444444444444443,10.0
1990,5,13,66,44,0.0,18.88888888888889,6.666666666666667
1990,5,14,68,46,0.0,20.0,7.777777777777778
1990,5,15,76,52,0.0,24.444444444444443,11.11111111111111
